"INTERNAL_ID","VETTING_LEVEL","DESCRIPTION","VETTING_LEVEL_PREDICTION","ALGORITHM_NAME","NAME","GENDER","BIRTH_DATE","BIRTH_COUNTRY","BIRTH_COUNTRY_CODE","OCCUPATION","ADDRESS","SSN","PASSPORT_NUMBER","PASSPORT_COUNTRY","PASSPORT_COUNTRY_CODE","COUNTRIES_VISITED","COUNTRIES_VISITED_COUNT","ARRIVAL_AIRPORT_COUNTRY_CODE","ARRIVAL_AIRPORT_IATA","ARRIVAL_AIRPORT_MUNICIPALITY","ARRIVAL_AIRPORT_REGION","DEPARTURE_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_IATA","DEPARTURE_AIRPORT_MUNICIPALITY","DEPARTURE_AIRPORT_REGION","UUID","AGE"
"22",100,NA,10,"DECISION_TREE","Amiee Trevino","F",1987-02-15,"Ghana","GH","Clinical molecular geneticist","260 Justin Islands Suite 134, Oneida, New York 13421","307-71-4219",42586407,"Ghana","GH","AE",1,"US","DYS","Abilene","US-TX","AE","DWC","Jebel Ali","AE-DU","f21ac4a1-0b10-46fc-b746-18166dd4a807",30
"23",20,NA,10,"DECISION_TREE","Kelly Smith","F",2000-06-01,"Ghana","GH","Retail buyer","44420 Barbara Parks Suite 820, Mechanicstown, Ohio 44651","417-88-6158",758341472,"Ghana","GH","BY,AE,OM,TW",4,"US","DAL","Dallas","US-TX","BY","MSQ","Minsk","BY-MI","48b1459b-e863-4e2c-ab3b-847ee296e78b",16
"24",100,NA,10,"DECISION_TREE","Amey Dawnie Richards","F",1991-03-26,"Ghana","GH","Technical sales engineer","274 Taylor Trafficway, Humboldt, Nebraska 68376","275-55-0312",67996665,"Ghana","GH","RO,TN,SA,SN,IN,CA,TH,OM,BR",9,"US","CVS","Clovis","US-NM","RO","OTP","Bucharest","RO-B","d09c2dfc-f5db-42a7-be08-bf5c1a488faf",25
"25",10,NA,10,"DECISION_TREE","Natasha Wright","F",1998-07-24,"Ghana","GH","Waste management officer","88811 Donald Parkways Suite 247, Bowdon, Georgia 30018","779-89-3513",351263602,"Ghana","GH","DZ,AL,DZ,PA,LY,QA,FR,PK,PE,IQ",10,"US","DTW","Detroit","US-MI","DZ","ALG","Algiers","DZ-35","d06dc97a-7bbe-4151-840b-c5a65328dcd0",18
"26",100,NA,10,"DECISION_TREE","Christie Sellers","F",1981-09-02,"Ghana","GH","Restaurant manager, fast food","760 Crawford View Suite 015, Hermanville, Mississippi 39086","114-84-7266",12533984,"Ghana","GH","SA,SG,SK,QA",4,"US","DYS","Abilene","US-TX","SA","MED","Medina","SA-03","947a3d61-9aa0-48c2-9772-0a300f9aecf6",35
"27",10,NA,10,"DECISION_TREE","Carla Shelly Montoya","F",1997-04-01,"Ghana","GH","Customer service manager","987 Peter Expressway, Dallas, Texas 75240","511-14-6306",866490304,"Ghana","GH","OM,SD,FR",3,"US","STL","St Louis","US-MO","OM","MCT","Muscat","OM-MA","98185636-b26c-4d9a-8fe8-eaa778889c24",19
"28",100,NA,10,"DECISION_TREE","Laura Dorsey","F",1970-01-03,"Ghana","GH","Print production planner","355 Carr Plains, Andover, Masachusets 05544","244-72-2850",785418602,"Ghana","GH","CO,BY,UZ,ME,HK",5,"US","DSM","Des Moines","US-IA","CO","BOG","Bogota","CO-CUN","af183b7b-2112-43d9-b65b-fa4a20110751",47
"29",100,NA,10,"DECISION_TREE","Sammy Odom","F",1987-09-23,"Ghana","GH","Doctor, general practice","9150 Donald Rpd Apt. 593, Chicopee, Masachusets 01014","832-84-5776",264084777,"Ghana","GH","RU,CL",2,"US","DFW","Dallas-Fort Worth","US-TX","RU","DME","Moscow","RU-MOS","c838d407-b93e-4edc-b950-f12733043815",29
"30",100,NA,10,"DECISION_TREE","Beth Ramirez","F",1988-10-02,"Ghana","GH","Forest/woodland manager","1355 Lopez Village, Sandy, Oregon 97055","344-51-7860",631073980,"Ghana","GH","EG,AE",2,"US","EWR","Newark","US-NJ","EG","CAI","Cairo","EG-C","bb5964e4-f886-4ba7-b56c-6d8a52cd14b4",28
"31",100,NA,10,"DECISION_TREE","Debbie Kim","F",1976-04-10,"Ghana","GH","Educational psychologist","7131 Bonnie Spurs Suite 104, Lewiston, Maine 04241","175-38-7712",161538456,"Ghana","GH","MT,LB,OM,DZ",4,"US","MKE","Milwaukee","US-WI","MT","MLA","Luqa","MT-25","dd39cdbe-84f4-4a67-80b0-b5bdab9b58cf",40
"32",10,NA,10,"DECISION_TREE","Lys Young","F",2002-01-07,"Ghana","GH","Surveyor, rural practice","173 Allison Rapid Suite 065, Prague, Nebraska 68050","668-10-2985",64203180,"Ghana","GH","IS,GH,UZ",3,"US","IAH","Houston","US-TX","IS","KEF","Reykjavík","IS-2","76f3a61b-d5ea-4c58-8531-939cce8ea416",15
"33",100,NA,10,"DECISION_TREE","Kelly Cooper","F",1988-03-24,"Ghana","GH","Dispensing optician","6184 Sanford Glen Suite 399, Cullman, Alabamma 35085","638-58-2786",637152949,"Ghana","GH","AL,LB,CY,OM,AM,ES",6,"US","HTS","Huntington","US-WV","AL","TIA","Tirana","AL-TR","cba23ea8-46ac-40e2-899e-ba4ed32ce449",28
"34",100,NA,10,"DECISION_TREE","Angela Griffin","F",1995-12-12,"Ghana","GH","Land/geomatics surveyor","86792 Amy Vlgs, Colubia, Sout Carolin 29242","430-65-1942",69870314,"Ghana","GH","IE,BA,PT,QA",4,"US","ROA","Roanoke","US-VA","IE","DUB","Dublin","IE-D","5951f552-94a6-4cf0-8ba4-f66e4479157d",21
"35",100,NA,10,"DECISION_TREE","Kimbi Roberts","F",1981-06-05,"Ghana","GH","Editor, film/video","15264 Cooper Highway, Pennsville, Ohio 43770","625-81-0424",83098716,"Ghana","GH","SK,CU,UZ,JM,CZ",5,"US","HNL","Honolulu","US-HI","SK","BTS","Bratislava","SK-BL","008c1882-3ad9-4b9c-88c3-9cc3f2b6c14a",35
"36",10,NA,10,"DECISION_TREE","Jacqueline Andri Martinez","F",1999-06-26,"Ghana","GH","Make","84942 Tami Run Apt. 589, Clear Fork, West Virginia 24822","359-46-2525",709633952,"Ghana","GH","GB,BZ,AE",3,"US","MEM","Memphis","US-TN","GB","LBA","Leeds","GB-ENG","4281452a-4615-444c-b48c-25ebbc97b40e",17
"37",100,NA,10,"DECISION_TREE","Carolyn Miller","F",1993-04-07,"Ghana","GH","Jewellery designer","49167 Clarke Glen Apt. 747, Rio Rancho, New Mexico 87174","344-39-2489",382080297,"Ghana","GH","ET,IT,OM,DZ,SD,KH",6,"US","DAY","Dayton","US-OH","ET","ADD","Addis Ababa","ET-AA","9d472857-d7ce-4415-be80-17eb93c66653",23
"38",100,NA,10,"DECISION_TREE","Stephanie Brooks","F",1985-03-10,"Ghana","GH","Oncologist","108 Erin Via, New Woodstock, New York 13122","835-48-1543",626776343,"Ghana","GH","IN,PA,QA,CU",4,"US","AMA","Amarillo","US-TX","IN","CCJ","Calicut","IN-KL","ad2a5a01-c9f0-4517-b11c-59c9884de8f6",32
"39",10,NA,10,"DECISION_TREE","Monica Jessica Lopez","F",1999-09-18,"Ghana","GH","Administrator, arts","10415 Pugh Junction Apt. 759, Little Rock, Arkansas 72212","176-69-3052",230496872,"Ghana","GH","UZ,CU,HK,RU,NZ,AZ,DE,DZ,ET,PE,GR",11,"US","CVG","Cincinnati","US-KY","UZ","TAS","Tashkent","UZ-TO","8256770d-a4c2-41a4-b32f-60fde7937a3a",17
"40",10,NA,10,"DECISION_TREE","Alison Mary Hall","F",2000-08-26,"Ghana","GH","Therapist, nutritional","81842 Greg Via Apt. 869, Yalaha, Florida 34797","767-39-0870",48224322,"Ghana","GH","IT,CZ,UZ,EC,AM,UZ,TR,LV,GB,BE,IQ,PT",12,"US","FWA","Fort Wayne","US-IN","IT","BLQ","Bologna","IT-45","9e281720-bc43-47a0-9691-78414c897e43",16
"41",100,NA,10,"DECISION_TREE","Annee Howe","F",1985-11-19,"Ghana","GH","Proofreader","802 Garcia Grv, Barrington, New Jersey 00807","790-88-9331",663744694,"Ghana","GH","ET,OM,AT",3,"US","PBI","West Palm Beach","US-FL","ET","ADD","Addis Ababa","ET-AA","20627b26-40c3-42b1-8960-6da8ccece42a",31
"42",100,NA,10,"DECISION_TREE","Nancy Stephanie Taylor","F",1988-01-09,"Ghana","GH","Recruitment consultant","1397 Morgan Locks Apt. 677, Farner, Tennessee 37333","356-98-2006",508156759,"Ghana","GH","BA,MX,LV,DO,GH,RU",6,"US","FWA","Fort Wayne","US-IN","BA","SJJ","Sarajevo","BA-BIH","0f1e790d-e94f-4b16-92c2-6eda38ea6ec0",29
"43",100,NA,10,"DECISION_TREE","Sarah Kimme Miller","F",2000-06-07,"Ghana","GH","Veterinary surgeon","79572 Schmidt Extension, Arvada, Colorado 80003","358-05-5707",177305,"Ghana","GH","OM,DK,PH,CU,MX",5,"US","CRP","Corpus Christi","US-TX","OM","JNJ","Duqm","OM-WU","652f9d66-c58f-49e6-9fcf-dc29299789fe",16
"44",100,NA,10,"DECISION_TREE","Diane Welch","F",1988-10-01,"Ghana","GH","Advertising account planner","5769 Gerald Brg, Fairfax, Virginia 22037","618-86-6988",930842750,"Ghana","GH","PH,RO,RU",3,"US","CHA","Chattanooga","US-TN","PH","CEB","Lapu-Lapu City","PH-CEB","e24eb501-5425-4e92-b1e3-4d2d18d2f3a0",28
"45",10,NA,10,"DECISION_TREE","Kristie Patel","F",1995-09-10,"Brazil","BR","Research officer, government","9335 Griffin Mtn Apt. 451, Hannaford, Ndak 54848","258-96-8189",661396484,"Brazil","BR","DZ,KW,UZ",3,"US","CVS","Clovis","US-NM","DZ","ALG","Algiers","DZ-35","1fa1fad9-eca4-456c-9c98-bf693c111969",21
"46",100,NA,10,"DECISION_TREE","Whitney Cole","F",1982-11-17,"Ghana","GH","Nurse, adult","941 Duncan Light Suite 294, Cantrall, Illanoise 62625","850-54-6675",404753037,"Ghana","GH","AM,CY,BR,CK,EG,AE,EC",7,"US","SAV","Savannah","US-GA","AM","EVN","Yerevan","AM-ER","e830765c-111b-42d1-99e3-1692beedd4e1",34
"47",100,NA,10,"DECISION_TREE","Barbara Wells","F",1979-02-08,"Ghana","GH","Surveyor, quantity","071 Stacey Pike Suite 410, Cannelton, West Virginia 25036","425-05-8506",14868781,"Ghana","GH","IN,RU",2,"US","STL","St Louis","US-MO","IN","SLV",NA,"IN-HP","52da6789-6445-43cc-a742-8cf7cb743f56",38
"48",20,NA,10,"DECISION_TREE","Jenny Curtis","F",1985-06-29,"Ghana","GH","Development worker, community","216 Craig Centers, Redding, California 96099","863-44-2489",291712067,"Ghana","GH","UZ",1,"US","HMN","Alamogordo","US-NM","UZ","TAS","Tashkent","UZ-TO","b21226f1-74c5-4540-8054-21bd4c79f088",31
"49",100,NA,10,"DECISION_TREE","Laura Heather Clark","F",1982-09-29,"Ghana","GH","Administrator, arts","43150 Kent Station Suite 946, Ennis, Texes 75120","131-42-3873",705786193,"Ghana","GH","GB,CZ,CN,IN,RU,AU,UA,GB,MY,GH,TH,UZ",12,"US","MLI","Moline","US-IL","GB","GLA","Glasgow","GB-SCT","07774750-f8e2-4576-9ac4-820a6ab2ab69",34
"50",100,NA,10,"DECISION_TREE","Carla Johnson","F",1988-04-19,"Ghana","GH","Radiographer, therapeutic","48617 Walker Tunl Ste 891, Fremont, North Carolina 27830","445-40-9568",858447355,"Ghana","GH","LV,MX,UZ,BY,SA,AE,SN",7,"US","HOU","Houston","US-TX","LV","RIX","Riga","LV-RIX","4f7a4a35-8681-4d5a-af06-1658f837a3b4",28
"51",10,NA,10,"DECISION_TREE","Kellye Neal","F",1975-12-22,"Ghana","GH","Probation officer","99524 Foster Squares, Arlington, Texas 76010","538-35-1472",376728210,"Ghana","GH","OM,ID,FR,PT,ET,PG,PL,PL,ZA,TH,CL",11,"US","BGR","Bangor","US-ME","OM","MCT","Muscat","OM-MA","c291f828-0641-49a2-8f43-2b36349060b0",41
"52",100,NA,10,"DECISION_TREE","Debr Howell","F",1982-07-27,"Ghana","GH","Health visitor","51259 Daniel Cove Suite 873, Fort Wor, Texis 76192","224-39-4288",119098911,"Ghana","GH","EE,KR,NO,VN,RU",5,"US","MOB","Mobile","US-AL","EE","TLL","Tallinn","EE-37","0e0ac96d-3303-4a02-9368-a8ca8d145052",34
"53",100,NA,10,"DECISION_TREE","Robbi Brann Acosta","F",1970-08-05,"Ghana","GH","Investment banker, corporate","4068 Briggs Brook, Cabery, Illinois 60919","392-81-4071",734508975,"Ghana","GH","LK,UZ,LB,NZ",4,"US","PHL","Philadelphia","US-PA","LK","CMB","Colombo","LK-1","d8353ef2-9307-4e36-98df-fae53608a51e",46
"54",100,NA,10,"DECISION_TREE","Joye Chapman","F",1981-02-16,"Ghana","GH","Newspaper journalist","604 Nicole Village, Syracuse, Nebraska 68464","306-08-6829",508283473,"Ghana","GH","ET,UZ",2,"US","STL","St Louis","US-MO","ET","ADD","Addis Ababa","ET-AA","5470cef7-bdea-46a2-a0af-2fb5718b9a3d",36
"55",100,NA,10,"DECISION_TREE","Joan Donna Cummings","F",1975-09-29,"Ghana","GH","Advertising account executive","121 Boone Corner Suite 867, Newcastle, Utah 84756","317-89-6056",806482227,"Ghana","GH","QA",1,"US","MCI","Kansas City","US-MO","QA","DOH","Doha","QA-DA","bcb302a3-7eb7-477b-acd4-a130006813fd",41
"56",100,NA,10,"DECISION_TREE","Sandra Walker","F",1993-12-12,"Ghana","GH","Merchant navy officer","19536 Jacob Spur, Andrews Air Force Base, Maryland 20762","570-90-3894",3894394,"Ghana","GH","PT,RU,AU",3,"US","DAY","Dayton","US-OH","PT","TER","Lajes","PT-20","13db12e6-18c1-45d7-aa7a-630642070730",23
"57",100,NA,10,"DECISION_TREE","Amanda May","F",1971-08-28,"Ghana","GH","Psychologist, sport and exercise","9062 Maldonado Islands Suite 594, Bridgehampton, New York 11932","501-98-2733",86350038,"Ghana","GH","IQ,PA,AE",3,"US","LBB","Lubbock","US-TX","IQ","BSR","Basrah","IQ-BA","7a0fdbf3-2dc0-42e8-901c-2f0a9ec54df5",45
"58",100,NA,10,"DECISION_TREE","Teresa Morales","F",1995-04-07,"Ghana","GH","Fashion designer","253 Williams Point, Lutsen, Minnesota 55612","166-52-2352",100388601,"Ghana","GH","OM,UY,TR,DK,LY,AZ,NL,BS,TH",9,"US","HSV","Huntsville","US-AL","OM","JNJ","Duqm","OM-WU","19b6a4a0-718a-4223-9a92-84e29c4eed42",21
"59",100,NA,10,"DECISION_TREE","Leis Lorraine Baker","F",1988-12-30,"Ghana","GH","Theatre director","34146 Walker Tunnel, Sioux Falls, South Dakota 57192","676-92-1425",265671377,"Ghana","GH","UZ",1,"US","ADW","Camp Springs","US-MD","UZ","TAS","Tashkent","UZ-TO","355c2bcd-7e5a-4315-96e5-bfa53a714f8f",28
"60",100,NA,10,"DECISION_TREE","Kayla Ginnie Oneill","F",1982-05-29,"Ghana","GH","Research officer, government","466 Wallace Station Apt. 578, Tinley Park, Illinois 60483","101-93-1759",547291635,"Ghana","GH","DE,OM,BA,BE,SI",5,"US","ICT","Wichita","US-KS","DE","NUE","Nuremberg","DE-BY","a8dd78b4-cdb8-48dd-9614-5ade536d9f3e",34
"61",100,NA,10,"DECISION_TREE","Pauli Schroeder","F",1992-01-18,"Ghana","GH","Horticultural therapist","97222 Kirk Forest Apt. 192, Cascadia, Orgon 97329","723-43-4501",393009539,"Ghana","GH","GB,KH,ID,DO,KE,QA,TN,AL",8,"US","MLI","Moline","US-IL","GB","NWI","Norwich","GB-ENG","5a553961-5cbf-4195-b2cb-5250218b216c",25
"62",100,NA,10,"DECISION_TREE","Kimberly Jo Pitts","F",1981-04-17,"Ghana","GH","Radiographer, therapeutic","50359 Sarah Valley, Rochesster, New Hampshire 03688","264-80-3399",782190581,"Ghana","GH","SA,PL,RU,SI,PK",5,"US","EWR","Newark","US-NJ","SA","DMM","Ad Dammam","SA-04","dad5478d-810f-4190-8c75-6503af0cbf7b",35
"63",100,NA,10,"DECISION_TREE","Gini Kelley","F",1970-05-25,"Ghana","GH","Corporate treasurer","17183 Jones Vws Ste 730, Buckhorn, Kentucky 41721","788-69-7385",458191765,"Ghana","GH","DE,RU,EC,DZ,ME,PH,EE,DZ,ME,DE,QA",11,"US","DAY","Dayton","US-OH","DE","SXF","Berlin","DE-BR","bb301121-a2f4-4370-b102-8570399df5a9",46
"64",100,NA,10,"DECISION_TREE","Bab Maurie Chambers","F",1987-02-22,"Ghana","GH","Sales promotion account executive","1596 Bell Forge, Chesnee, South Carolina 29323","740-80-5489",864275340,"Ghana","GH","RU,TW",2,"US","RSW","Fort Myers","US-FL","RU","KJA","Krasnoyarsk","RU-KYA","970b1fc3-5efe-441e-b1eb-736af758d5c6",30
"65",100,NA,10,"DECISION_TREE","Sandye Dorsie Ritter","F",1982-01-23,"Ghana","GH","Health and safety inspector","94192 Salinas Cvs, Belgrade, Nebrascka 68623","144-95-9492",82212706,"Ghana","GH","IS,RU,AU,AZ,DE",5,"US","DAY","Dayton","US-OH","IS","KEF","Reykjavík","IS-2","aa0cc56e-e0ad-424b-a253-f8bf1fddd2cd",35
"66",100,NA,10,"DECISION_TREE","Monique Higgins","F",1999-07-03,"Ghana","GH","Engineer, communications","4198 Kevin Rst, Posen, Michigan 49776","273-20-3338",492460088,"Ghana","GH","SD,MY,AE,DK",4,"US","RSW","Fort Myers","US-FL","SD","KRT","Khartoum","SD-03","2aa9dc24-8ad3-4527-9b32-820f39d6e445",17
"67",20,NA,10,"DECISION_TREE","Tina Williams","F",2000-08-14,"Ghana","GH","Administrator, Civil Service","05583 Pugh Hvn Ste 459, Kennard, Indiana 47351","200-79-7648",201032699,"Ghana","GH","GB,BY,QA,RS,KZ,ET,MA,LK,VN,UZ,IE",11,"US","CID","Cedar Rapids","US-IA","GB","LHR","London","GB-ENG","d864f4c7-0ff3-480a-9d84-6c4ba3986377",16
"68",100,NA,10,"DECISION_TREE","Rosemary Jennifer Ramirez","F",1987-05-08,"Ghana","GH","Science writer","36664 Cervantes Brook Apt. 167, Stephens, Arkansas 71764","499-69-6627",633994885,"Ghana","GH","AE,NG,PT,PE,HR,ME",6,"US","DAY","Dayton","US-OH","AE","SHJ","Sharjah","AE-SH","5711c62d-ab3c-400c-becc-4f46f98f9396",29
"69",100,NA,10,"DECISION_TREE","Jodi Mahoney","F",1993-01-22,"Ghana","GH","Engineer, drilling","4839 Jennifer Drive, Fullerton, Califronia 96240","392-13-8158",883557030,"Ghana","GH","BY,QA,DZ,UZ,UZ,DO",6,"US","MHT","Manchester","US-NH","BY","MSQ","Minsk","BY-MI","373d6259-0651-462d-8f18-2c020994c4f6",24
"70",100,NA,10,"DECISION_TREE","Sherrie Margaret Jarvis","F",1981-01-16,"Ghana","GH","Arts development officer","08967 Torres Mills Apt. 786, Clarkson, New York 14430","390-05-3918",597491779,"Ghana","GH","IS,BN,SK,SE,ID,NG,ES,GH,JO,QA",10,"US","DOV","Dover","US-DE","IS","KEF","Reykjavík","IS-2","9baeab20-36cb-4385-9f84-93cff7a2428c",36
